,Open,High,Low,Close,Volume,Dividends,Stock Splits,Previous_close,Return
2020-07-20,158.07362505274133,159.23195293527138,157.35203519891218,158.59580993652344,1806200,0.0,0.0,157.57044982910156,0.010544509506521527
2020-07-21,158.4344127261426,158.77621464950246,156.43107649233923,156.94378662109375,1540700,0.0,0.0,158.59580993652344,0.0011375124793726599
2020-07-22,157.1716451293697,157.4659862342109,154.1239245886675,156.5070343017578,1686500,0.0,0.0,156.94378662109375,0.003327303516499791
2020-07-23,156.9058317926606,157.0957330558585,152.66179643648357,153.3549041748047,2408800,0.0,0.0,156.5070343017578,0.0037614843110860274
2020-07-24,153.3074337839397,153.3074337839397,150.44009556924132,151.47499084472656,2247900,0.0,0.0,153.3549041748047,-0.00030954595890120284
2020-07-27,151.53194646195527,153.56376513701537,150.57299445770866,152.38644409179688,2709700,0.0,0.0,151.47499084472656,0.013789565397168246
2020-07-28,153.49730958678543,157.04825155216213,153.19349365501776,154.42776489257812,3483100,0.0,0.0,152.38644409179688,0.030592008942455617
2020-07-29,154.313810604433,154.78853469156593,152.956106669199,153.5732421875,3108900,0.0,0.0,154.42776489257812,0.002336171861573977
2020-07-30,150.44006918084477,150.48754448984184,142.8444833390862,145.2655792236328,6638100,0.0,0.0,153.5732421875,-0.020092677954215432
2020-07-31,145.38905650154865,145.58843257778244,141.22097807830423,142.69261169433594,5342700,0.0,0.0,145.2655792236328,0.0022225041601398043
2020-08-03,145.07569116532989,146.07261469554652,143.57556123663414,145.11366271972656,3615000,0.0,0.0,142.69261169433594,0.023687302103986507
2020-08-04,145.62638926584046,148.11393925060972,145.3510411376051,147.02207946777344,3260000,0.0,0.0,145.11366271972656,0.02067535526739417
2020-08-05,149.3576887515364,149.52859695496664,145.55040681941196,146.53782653808594,2386400,0.0,0.0,147.02207946777344,0.017048578664285774
2020-08-06,146.07262309142007,147.63920695221069,143.36668970922065,145.1516571044922,2176200,0.0,0.0,146.53782653808594,0.007516014398087911
2020-08-07,145.2276087140241,145.74030438756307,143.91736551091387,145.19911193847656,2017100,0.0,0.0,145.1516571044922,0.00405539485262052
2020-08-10,145.19911089355088,145.73081407191543,143.86988916621524,145.2655792236328,1745200,0.0,0.0,145.19911193847656,0.0036618828196701703
2020-08-11,145.39849052354418,145.39849052354418,142.60711061744698,143.015380859375,2103400,0.0,0.0,145.2655792236328,0.0009149538426220793
2020-08-12,143.1672949414473,145.42698640766503,142.98691194376897,144.8383331298828,2430400,0.0,0.0,143.015380859375,0.016862560752548106
2020-08-13,143.8937609388344,144.72380246735267,142.91104918600064,143.55029296875,2077700,0.74,0.0,144.8383331298828,-0.0007907482781331909
2020-08-14,142.9206661326719,144.72387017977442,142.30050765756215,143.1973419189453,1538000,0.0,0.0,143.55029296875,0.0081753731514842
2020-08-17,143.98922551363145,145.68748054116764,143.4549449959417,144.5712127685547,2704700,0.0,0.0,143.1973419189453,0.017389558974019392
2020-08-18,145.1626936878637,146.1167699252024,144.208617450525,146.07861328125,1959700,0.0,0.0,144.5712127685547,0.01069062870159354
2020-08-19,146.7464492030391,147.31890071196997,145.02910923429312,145.29624938964844,1938800,0.0,0.0,146.07861328125,0.008490547677448168
2020-08-20,145.54434659814711,145.8305724078623,143.92241975382706,144.38990783691406,1830200,0.0,0.0,145.29624938964844,0.003677472890445621
2020-08-21,144.38990651437638,144.3994565947107,141.15558837773332,142.40542602539062,3112000,0.0,0.0,144.38990783691406,6.613175352554457e-05
